"Time","Energy Drink"
"2026-03-30",90
"2026-03-31",96
"2026-04-01",89
"2026-04-02",77
"2026-04-03",71
"2026-04-04",100
"2026-04-05",64
"2026-04-06",78
"2026-04-07",62
"2026-04-08",86
"2026-04-09",93
"2026-04-10",82
"2026-04-11",84
"2026-04-12",82
"2026-04-13",95
"2026-04-14",67
"2026-04-15",66
"2026-04-16",71
"2026-04-17",79
"2026-04-18",78
"2026-04-19",59
"2026-04-20",66
"2026-04-21",71
"2026-04-22",69
"2026-04-23",76
"2026-04-24",76
"2026-04-25",70
"2026-04-26",57
"2026-04-27",65
"2026-04-28",54
